ticker,name,market_cap,adv_value,price,analyst_count,sector,net_cash,pbr
1234.T,小型建設A,4000000000,10000000,1500,0,建設,2400000000,0.60
5678.T,地方部品B,8000000000,12000000,900,1,機械,2000000000,0.80
2345.T,地場設備C,3000000000,6000000,720,0,建設,1500000000,0.55
3456.T,受注型製造D,5500000000,9000000,1100,0,機械,900000000,0.72
4567.T,持株会社E,12000000000,15000000,2400,2,その他,4000000000,0.65
9012.T,中堅IT F,60000000000,400000000,2200,6,情報通信,5000000000,1.80
7203.T,大型製造G,40000000000000,50000000000,3000,22,自動車,,1.10
3333.T,超薄商いH,1500000000,300000,400,0,小売,900000000,0.40
6789.T,低位株I,2000000000,4000000,85,0,繊維,600000000,0.35
8901.T,親子上場J,7000000000,11000000,1800,1,化学,1200000000,0.78
