A1,8.69E+12,1,71001,80901,0,0,0,0,0,0,0,0
G0001      ,／再掘削工                              ,式        ,殻運搬処理　処分費含む                  ,As殻（車道）　大林道路　L=4.9km         ,                                        ,,,,,,,
S8505      ,舗装版破砕工                            ,㎡        ,                                        ,                                        ,；水道編                                ,,,1,1,,,
S8505      ,舗装版破砕工                            ,㎡        ,                                        ,                                        ,；水道編                                ,,,93,93,,,
S8500      ,床掘                                    ,        ,                                        ,                                        ,；水道編                                ,,,1,1,,,
S8500      ,床掘                                    ,        ,                                        ,                                        ,；水道編                                ,,,150,150,,,
S8510      ,埋戻し(配管用)                          ,        ,                                        ,                                        ,；水道編                                ,,,1,1,,,
S8510      ,埋戻し(配管用)                          ,        ,                                        ,                                        ,；水道編                                ,,,150,150,,,
S8625      ,舗装復旧工                              ,㎡        ,                                        ,                                        ,；水道編                                ,,,1,1,,,
S8625      ,舗装復旧工                              ,㎡        ,                                        ,                                        ,；水道編                                ,,,78,78,,,
S8625      ,舗装復旧工                              ,㎡        ,                                        ,                                        ,；水道編                                ,,,15,15,,,
S8515      ,軽量鋼矢板建込・撤去工                  ,ｍ        ,                                        ,                                        ,；水道編                                ,,,78,78,,,
SCB210110  ,土砂等運搬                              ,m3        ,現場～仮置場　L=4.2km                   ,                                        ,；02/01/02                              ,,,150,150,,,
S8500      ,積込み                                  ,        ,                                        ,                                        ,；水道編                                ,,,150,150,,,
SCB210110  ,土砂等運搬                              ,m3        ,仮置場～現場　L=4.2km                   ,                                        ,；02/01/02                              ,,,150,150,,,
V0011      ,／殻運搬処理                            ,ｍ3       ,現場～前田道路　L=3.0km As殻（車道）    ,"管工事(φ400～φ500),舗装工事           ",処分費含む　；東白川                    ,,,5,5,,,
V0013      ,／殻運搬処理                            ,ｍ3       ,現場～前田道路　L=3.0km As殻（歩道）    ,"管工事(φ400～φ500),舗装工事           ",処分費含む　；東白川                    ,,,0.1,0.1,,,
G2001      ,／鋼管現場Ｘ線試験費(水道用)            ,式        ,16箇所                                  ,；埋設管                                ,                                        ,,,,,,,
S8770      ,鋼管現場Ｘ線試験費(水道用)              ,箇所      ,                                        ,                                        ,；水道編                                ,,,16,16,,,
G0007      ,／スクラップ                            ,式        ,撤去管・残管・仕切弁等                  ,；故銑A                                 ,                                        ,,,,,,,
F1005      ,スクラップ                              ,ｔ        ,故銑A                                   ,                                        ,；建設物価9月                           ,,,-7.9,-7.9,,,
TZ006730001,ｽｸﾗｯﾌﾟ                                  ,t         ,ﾍﾋﾞｰH1                                  ,                                        ,                                        ,,,-115.6,-115.6,,,
G0002      ,／現場発生品運搬                        ,式        ,；現場～西部建設事務所　L=2.1km         ,撤去管・残管・仕切弁等                  ,積込・取り卸し含む                      ,,,,,,,
SCB010410  ,現場発生品及び支給品運搬                ,t         ,                                        ,                                        ,；01/02/03                              ,,,123.5,123.5,,,
SCB010420  ,現場発生品及び支給品積込･荷卸           ,t         ,                                        ,                                        ,；01/02/03                              ,,,123.5,123.5,,,
G0022      ,／現場発生品運搬                        ,式        ,現場～仮置場　L=4.2km　往復             ,防護柵等                                ,積込・取り卸し含む                      ,,,,,,,
SCB010410  ,現場発生品及び支給品運搬                ,t         ,現場～仮置場                            ,                                        ,；01/02/03                              ,,,3.8,3.8,,,
SCB010420  ,現場発生品及び支給品積込･荷卸           ,t         ,現場                                    ,                                        ,；01/02/03                              ,,,3.8,3.8,,,
SCB010410  ,現場発生品及び支給品運搬                ,t         ,仮置場～現場                            ,                                        ,；01/02/03                              ,,,3.8,3.8,,,
SCB010420  ,現場発生品及び支給品積込･荷卸           ,t         ,仮置場                                  ,                                        ,；01/02/03                              ,,,3.8,3.8,,,
G0012      ,／廃プラスチック運搬処分                ,式        ,現場～環境保全センター　L=14.9km        ,処分費含む                              ,積込・取り卸し含む                      ,,,,,,,
SCB010410  ,現場発生品及び支給品運搬                ,t         ,現場～環境保全センターL=14.9㎞          ,撤去管（VE)                             ,；01/02/03                              ,,,6.26,6.26,,,
F1006      ,処分費                                  ,ｍ3       ,廃プラスチック                          ,環境保全センター                        ,；年間見積                              ,,,17.67,17.67,,,
SCB010420  ,現場発生品及び支給品積込･荷卸           ,t         ,                                        ,                                        ,；01/02/03                              ,,,6.26,6.26,,,
G1002      ,／通水試験費                            ,式        ,器具損料・諸雑費含む                    ,                                        ,                                        ,,,,,,,
S8775      ,通水試験工                              ,日        ,                                        ,                                        ,；水道編                                ,,,1,1,,,
G0003      ,／交通誘導警備員                        ,式        ,                                        ,                                        ,                                        ,,,,,,,
SWB010212  ,交通誘導警備員B                         ,人日      ,                                        ,                                        ,；02/05/21                              ,,,1152,1152,,,
G1005      ,／仮設資材運搬                          ,式        ,積込み取卸し含む                        ,往復分                                  ,；現場～西部建設事務所　L=2.1km         ,,,,,,,
